date,KC,CC,CT,SB
1992-11-17,71.8,1005.0,56.96,8.73
1992-11-18,71.25,1019.0,56.63,8.68
1992-11-19,70.95,1035.0,56.73,8.66
1992-11-20,71.6,1012.0,57.65,8.62
1992-11-23,70.65,1020.0,57.7,8.34
1992-11-24,69.5,1004.0,56.78,8.41
1992-11-25,70.35,1007.0,56.7,8.43
1992-11-30,73.0,1008.0,58.12,8.41
1992-12-01,75.7,1019.0,58.1,8.48
1992-12-02,75.55,1027.0,58.01,8.52
1992-12-03,76.5,1022.0,58.63,8.54
1992-12-04,76.1,1016.0,58.87,8.37
1992-12-07,76.6,1008.0,58.53,8.29
1992-12-08,78.0,951.0,58.48,8.25
1992-12-09,77.85,940.0,58.8,8.26
1992-12-10,78.65,960.0,59.56,8.26
1992-12-11,79.3,947.0,59.05,8.3
1992-12-14,79.05,949.0,58.54,8.27
1992-12-15,78.7,957.0,58.66,8.18
1992-12-16,78.7,944.0,57.48,8.19
1992-12-17,78.75,945.0,57.26,8.32
1992-12-18,79.7,936.0,57.75,8.3
1992-12-21,81.9,930.0,58.24,8.12
1992-12-22,81.55,959.0,57.78,8.19
1992-12-23,78.55,966.0,58.08,8.19
1992-12-24,78.1,968.0,58.06,8.21
1992-12-28,80.25,952.0,58.88,8.21
1992-12-29,77.6,936.0,58.6,8.38
1992-12-30,75.8,928.0,58.91,8.39
1992-12-31,77.55,936.0,58.86,8.41
1993-01-04,74.8,930.0,58.42,8.29
1993-01-05,71.8,955.0,58.58,8.09
1993-01-06,70.3,947.0,59.54,8.17
1993-01-07,73.2,955.0,61.08,8.16
1993-01-08,70.3,943.0,60.79,8.6
1993-01-11,69.25,950.0,60.8,8.64
1993-01-12,71.55,972.0,60.78,8.52
1993-01-13,73.35,995.0,60.93,8.46
1993-01-14,72.4,994.0,61.71,8.59
1993-01-15,69.75,990.0,61.39,8.57
1993-01-18,68.65,983.0,61.01,8.41
1993-01-19,65.6,1008.0,61.55,8.45
1993-01-20,64.5,1006.0,62.4,8.54
1993-01-21,64.25,992.0,62.83,8.5
1993-01-22,62.8,999.0,62.9,8.45
1993-01-25,56.05,943.0,61.8,8.47
1993-01-26,57.9,911.0,59.8,8.62
1993-01-27,57.75,928.0,58.95,8.61
1993-01-28,58.3,923.0,59.61,8.47
1993-01-29,64.25,941.0,60.18,8.3
1993-02-01,66.55,949.0,60.03,8.25
1993-02-02,69.15,942.0,60.44,8.04
1993-02-03,67.9,918.0,60.68,8.14
1993-02-04,66.45,900.0,62.4,8.22
1993-02-05,66.9,906.0,62.12,8.1
1993-02-08,61.8,910.0,61.97,8.05
1993-02-09,63.85,918.0,61.15,8.15
1993-02-10,65.85,922.0,63.1,9.14
1993-02-11,68.35,908.0,62.46,9.02
1993-02-12,66.6,925.0,62.4,9.01
1993-02-16,67.0,938.0,63.46,9.51
1993-02-17,66.5,929.0,63.1,9.65
1993-02-18,67.5,928.0,63.89,9.49
1993-02-19,68.0,929.0,63.7,9.43
1993-02-22,69.1,959.0,62.96,9.62
1993-02-23,65.85,967.0,63.53,9.72
1993-02-24,68.0,969.0,63.24,9.87
1993-02-25,66.45,957.0,63.02,9.89
1993-02-26,64.85,936.0,63.32,9.95
1993-03-01,62.95,940.0,62.83,10.23
1993-03-02,64.4,944.0,62.18,10.12
1993-03-03,65.25,922.0,62.9,10.18
1993-03-04,65.55,886.0,62.58,10.2
1993-03-05,64.25,886.0,62.62,10.09
1993-03-08,63.3,892.0,62.23,10.01
1993-03-09,63.75,878.0,62.86,9.88
1993-03-10,62.35,861.0,64.79,10.15
1993-03-11,62.15,860.0,64.2,10.21
1993-03-12,61.7,874.0,64.75,10.55
