date,dominant_contract,dominant_close,dominant_oi,rolled,roll_id
1992-11-17,H1993,1005.0,26494.0,True,1
1992-11-18,H1993,1019.0,26132.0,False,1
1992-11-19,H1993,1035.0,25889.0,False,1
1992-11-20,H1993,1012.0,25243.0,False,1
1992-11-23,H1993,1020.0,25492.0,False,1
1992-11-24,H1993,1004.0,25743.0,False,1
1992-11-25,H1993,1007.0,25743.0,False,1
1992-11-30,H1993,1008.0,25394.0,False,1
1992-12-01,H1993,1019.0,26292.0,False,1
1992-12-02,H1993,1027.0,26532.0,False,1
1992-12-03,H1993,1022.0,26685.0,False,1
1992-12-04,H1993,1016.0,26735.0,False,1
1992-12-07,H1993,1008.0,26803.0,False,1
1992-12-08,H1993,951.0,27675.0,False,1
1992-12-09,H1993,940.0,28880.0,False,1
1992-12-10,H1993,960.0,29590.0,False,1
1992-12-11,H1993,947.0,29856.0,False,1
1992-12-14,H1993,949.0,30163.0,False,1
1992-12-15,H1993,957.0,28901.0,False,1
1992-12-16,H1993,944.0,28290.0,False,1
1992-12-17,H1993,945.0,27323.0,False,1
1992-12-18,H1993,936.0,26875.0,False,1
1992-12-21,H1993,930.0,27184.0,False,1
1992-12-22,H1993,959.0,27018.0,False,1
1992-12-23,H1993,966.0,26633.0,False,1
1992-12-24,H1993,968.0,26633.0,False,1
1992-12-28,H1993,952.0,26653.0,False,1
1992-12-29,H1993,936.0,26904.0,False,1
1992-12-30,H1993,928.0,25803.0,False,1
1992-12-31,H1993,936.0,25561.0,False,1
1993-01-04,H1993,930.0,25253.0,False,1
1993-01-05,H1993,955.0,23679.0,False,1
1993-01-06,H1993,947.0,23482.0,False,1
1993-01-07,H1993,955.0,23522.0,False,1
1993-01-08,H1993,943.0,22961.0,False,1
1993-01-11,H1993,950.0,22836.0,False,1
1993-01-12,H1993,972.0,23138.0,False,1
1993-01-13,H1993,995.0,23543.0,False,1
1993-01-14,H1993,994.0,24171.0,False,1
1993-01-15,H1993,990.0,24066.0,False,1
1993-01-18,H1993,983.0,23693.0,False,1
1993-01-19,H1993,1008.0,23955.0,False,1
1993-01-20,H1993,1006.0,22866.0,False,1
1993-01-21,H1993,992.0,23171.0,False,1
1993-01-22,H1993,999.0,22150.0,False,1
1993-01-25,H1993,943.0,19696.0,False,1
1993-01-26,H1993,911.0,18141.0,False,1
1993-01-27,H1993,928.0,17317.0,False,1
1993-01-28,H1993,923.0,17337.0,False,1
1993-01-29,K1993,941.0,17016.0,True,2
1993-02-01,K1993,949.0,16661.0,False,2
1993-02-02,K1993,942.0,16837.0,False,2
1993-02-03,K1993,918.0,16849.0,False,2
1993-02-04,K1993,900.0,17522.0,False,2
1993-02-05,K1993,906.0,17571.0,False,2
1993-02-08,K1993,910.0,17896.0,False,2
1993-02-09,K1993,918.0,19793.0,False,2
1993-02-10,K1993,922.0,20679.0,False,2
1993-02-11,K1993,908.0,22950.0,False,2
1993-02-12,K1993,925.0,22950.0,False,2
1993-02-16,K1993,938.0,23268.0,False,2
1993-02-17,K1993,929.0,23365.0,False,2
1993-02-18,K1993,928.0,23365.0,False,2
1993-02-19,K1993,929.0,23115.0,False,2
1993-02-22,K1993,959.0,23115.0,False,2
1993-02-23,K1993,967.0,23181.0,False,2
1993-02-24,K1993,969.0,23322.0,False,2
1993-02-25,K1993,957.0,23284.0,False,2
1993-02-26,K1993,936.0,22638.0,False,2
1993-03-01,K1993,940.0,23304.0,False,2
1993-03-02,K1993,944.0,22705.0,False,2
1993-03-03,K1993,922.0,22888.0,False,2
1993-03-04,K1993,886.0,21931.0,False,2
1993-03-05,K1993,886.0,22728.0,False,2
1993-03-08,K1993,892.0,23037.0,False,2
1993-03-09,K1993,878.0,23071.0,False,2
1993-03-10,K1993,861.0,23597.0,False,2
1993-03-11,K1993,860.0,23578.0,False,2
1993-03-12,K1993,874.0,22522.0,False,2
1993-03-15,K1993,893.0,22052.0,False,2
1993-03-16,K1993,903.0,21199.0,False,2
1993-03-17,K1993,897.0,21145.0,False,2
1993-03-18,K1993,918.0,20708.0,False,2
1993-03-19,K1993,919.0,20319.0,False,2
1993-03-22,K1993,888.0,20117.0,False,2
1993-03-23,K1993,880.0,20494.0,False,2
1993-03-24,K1993,897.0,20361.0,False,2
1993-03-25,K1993,904.0,19703.0,False,2
1993-03-26,K1993,897.0,19913.0,False,2
1993-03-29,K1993,895.0,19663.0,False,2
1993-03-30,K1993,898.0,19484.0,False,2
1993-03-31,K1993,919.0,19464.0,False,2
1993-04-01,K1993,905.0,18982.0,False,2
1993-04-02,K1993,901.0,17582.0,False,2
1993-04-05,N1993,931.0,17383.0,True,3
1993-04-06,N1993,924.0,17506.0,False,3
1993-04-07,N1993,930.0,17971.0,False,3
1993-04-08,N1993,951.0,17971.0,False,3
1993-04-12,N1993,968.0,21130.0,False,3
1993-04-13,N1993,976.0,22164.0,False,3
1993-04-14,N1993,961.0,22855.0,False,3
1993-04-15,N1993,960.0,24257.0,False,3
1993-04-16,N1993,941.0,28410.0,False,3
1993-04-19,N1993,913.0,24682.0,False,3
1993-04-20,N1993,914.0,24199.0,False,3
1993-04-21,N1993,918.0,24217.0,False,3
1993-04-22,N1993,924.0,24207.0,False,3
1993-04-23,N1993,931.0,24230.0,False,3
1993-04-26,N1993,951.0,24462.0,False,3
1993-04-27,N1993,955.0,24405.0,False,3
1993-04-28,N1993,944.0,24542.0,False,3
1993-04-29,N1993,930.0,24407.0,False,3
1993-04-30,N1993,936.0,24488.0,False,3
1993-05-03,N1993,936.0,24480.0,False,3
1993-05-04,N1993,931.0,24814.0,False,3
1993-05-05,N1993,940.0,25214.0,False,3
1993-05-06,N1993,941.0,24833.0,False,3
1993-05-07,N1993,934.0,25424.0,False,3
1993-05-10,N1993,915.0,26041.0,False,3
1993-05-11,N1993,910.0,26235.0,False,3
1993-05-12,N1993,902.0,27412.0,False,3
1993-05-13,N1993,905.0,27419.0,False,3
1993-05-14,N1993,905.0,27134.0,False,3
1993-05-17,N1993,887.0,27156.0,False,3
1993-05-18,N1993,883.0,27704.0,False,3
1993-05-19,N1993,896.0,27722.0,False,3
1993-05-20,N1993,898.0,27318.0,False,3
1993-05-21,N1993,887.0,26894.0,False,3
1993-05-24,N1993,886.0,26688.0,False,3
1993-05-25,N1993,880.0,26385.0,False,3
1993-05-26,N1993,887.0,25422.0,False,3
1993-05-27,N1993,890.0,23914.0,False,3
1993-05-28,N1993,894.0,23914.0,False,3
1993-06-01,N1993,878.0,22110.0,False,3
1993-06-02,N1993,877.0,21274.0,False,3
1993-06-03,N1993,871.0,20415.0,False,3
1993-06-04,N1993,855.0,18877.0,False,3
1993-06-07,U1993,884.0,17461.0,True,4
1993-06-08,U1993,883.0,18314.0,False,4
1993-06-09,U1993,880.0,18976.0,False,4
1993-06-10,U1993,902.0,19774.0,False,4
1993-06-11,U1993,881.0,20123.0,False,4
1993-06-14,U1993,885.0,20709.0,False,4
1993-06-15,U1993,888.0,22306.0,False,4
1993-06-16,U1993,893.0,25062.0,False,4
1993-06-17,U1993,913.0,26709.0,False,4
1993-06-18,U1993,928.0,27969.0,False,4
1993-06-21,U1993,933.0,29623.0,False,4
1993-06-22,U1993,937.0,30281.0,False,4
1993-06-23,U1993,931.0,29634.0,False,4
1993-06-24,U1993,923.0,28862.0,False,4
1993-06-25,U1993,918.0,28533.0,False,4
1993-06-28,U1993,901.0,27876.0,False,4
1993-06-29,U1993,900.0,27472.0,False,4
1993-06-30,U1993,903.0,27471.0,False,4
1993-07-01,U1993,939.0,28210.0,False,4
1993-07-02,U1993,978.0,28210.0,False,4
1993-07-06,U1993,984.0,30477.0,False,4
1993-07-07,U1993,974.0,30195.0,False,4
1993-07-08,U1993,963.0,30377.0,False,4
1993-07-09,U1993,981.0,32711.0,False,4
1993-07-12,U1993,954.0,33216.0,False,4
1993-07-13,U1993,956.0,33390.0,False,4
1993-07-14,U1993,1015.0,35696.0,False,4
1993-07-15,U1993,989.0,37400.0,False,4
1993-07-16,U1993,968.0,36267.0,False,4
1993-07-19,U1993,989.0,35675.0,False,4
1993-07-20,U1993,978.0,35023.0,False,4
1993-07-21,U1993,981.0,34500.0,False,4
1993-07-22,U1993,953.0,32499.0,False,4
1993-07-23,U1993,961.0,30738.0,False,4
1993-07-26,U1993,948.0,28584.0,False,4
1993-07-27,U1993,930.0,26272.0,False,4
1993-07-28,U1993,930.0,24337.0,False,4
1993-07-29,U1993,940.0,23741.0,False,4
1993-07-30,U1993,939.0,23539.0,False,4
1993-08-02,Z1993,1000.0,23602.0,True,5
1993-08-03,Z1993,1007.0,24530.0,False,5
1993-08-04,Z1993,985.0,25737.0,False,5
1993-08-05,Z1993,975.0,26067.0,False,5
1993-08-06,Z1993,975.0,25735.0,False,5
1993-08-09,Z1993,950.0,26018.0,False,5
1993-08-10,Z1993,951.0,27376.0,False,5
1993-08-11,Z1993,965.0,28119.0,False,5
1993-08-12,Z1993,956.0,28293.0,False,5
1993-08-13,Z1993,975.0,29833.0,False,5
1993-08-16,Z1993,1010.0,31833.0,False,5
1993-08-17,Z1993,1012.0,33168.0,False,5
1993-08-18,Z1993,1038.0,36004.0,False,5
1993-08-19,Z1993,1029.0,36056.0,False,5
1993-08-20,Z1993,1030.0,36801.0,False,5
1993-08-23,Z1993,1054.0,38080.0,False,5
1993-08-24,Z1993,1056.0,39212.0,False,5
1993-08-25,Z1993,1059.0,40510.0,False,5
1993-08-26,Z1993,1067.0,40341.0,False,5
1993-08-27,Z1993,1092.0,42468.0,False,5
1993-08-30,Z1993,1088.0,42766.0,False,5
1993-08-31,Z1993,1079.0,42582.0,False,5
1993-09-01,Z1993,1076.0,42262.0,False,5
1993-09-02,Z1993,1057.0,41546.0,False,5
1993-09-03,Z1993,1086.0,41546.0,False,5
1993-09-07,Z1993,1119.0,41596.0,False,5
1993-09-08,Z1993,1144.0,40156.0,False,5
1993-09-09,Z1993,1152.0,27784.0,False,5
1993-09-10,Z1993,1151.0,38617.0,False,5
1993-09-13,Z1993,1174.0,39020.0,False,5
1993-09-14,Z1993,1158.0,37849.0,False,5
