date,dominant_contract,dominant_close,dominant_oi,rolled,roll_id
1992-11-17,H1993,8.73,41200.0,True,1
1992-11-18,H1993,8.68,40904.0,False,1
1992-11-19,H1993,8.66,41739.0,False,1
1992-11-20,H1993,8.62,42485.0,False,1
1992-11-23,H1993,8.34,49885.0,False,1
1992-11-24,H1993,8.41,52786.0,False,1
1992-11-25,H1993,8.43,52786.0,False,1
1992-11-30,H1993,8.41,53912.0,False,1
1992-12-01,H1993,8.48,54318.0,False,1
1992-12-02,H1993,8.52,55296.0,False,1
1992-12-03,H1993,8.54,56088.0,False,1
1992-12-04,H1993,8.37,56341.0,False,1
1992-12-07,H1993,8.29,56642.0,False,1
1992-12-08,H1993,8.25,57721.0,False,1
1992-12-09,H1993,8.26,58807.0,False,1
1992-12-10,H1993,8.26,59496.0,False,1
1992-12-11,H1993,8.3,59457.0,False,1
1992-12-14,H1993,8.27,59868.0,False,1
1992-12-15,H1993,8.18,60841.0,False,1
1992-12-16,H1993,8.19,60424.0,False,1
1992-12-17,H1993,8.32,60386.0,False,1
1992-12-18,H1993,8.3,59924.0,False,1
1992-12-21,H1993,8.12,59887.0,False,1
1992-12-22,H1993,8.19,60174.0,False,1
1992-12-23,H1993,8.19,59482.0,False,1
1992-12-24,H1993,8.21,59482.0,False,1
1992-12-28,H1993,8.21,59437.0,False,1
1992-12-29,H1993,8.38,56488.0,False,1
1992-12-30,H1993,8.39,53738.0,False,1
1992-12-31,H1993,8.41,53338.0,False,1
1993-01-04,H1993,8.29,53098.0,False,1
1993-01-05,H1993,8.09,56047.0,False,1
1993-01-06,H1993,8.17,56008.0,False,1
1993-01-07,H1993,8.16,56158.0,False,1
1993-01-08,H1993,8.6,47063.0,False,1
1993-01-11,H1993,8.64,43891.0,False,1
1993-01-12,H1993,8.52,41133.0,False,1
1993-01-13,H1993,8.46,40827.0,False,1
1993-01-14,H1993,8.59,41225.0,False,1
1993-01-15,H1993,8.57,39162.0,False,1
1993-01-18,H1993,8.41,37848.0,False,1
1993-01-19,H1993,8.45,36898.0,False,1
1993-01-20,H1993,8.54,37284.0,False,1
1993-01-21,H1993,8.5,36709.0,False,1
1993-01-22,H1993,8.45,36915.0,False,1
1993-01-25,H1993,8.47,34397.0,False,1
1993-01-26,H1993,8.62,37152.0,False,1
1993-01-27,H1993,8.61,36699.0,False,1
1993-01-28,H1993,8.47,34998.0,False,1
1993-01-29,H1993,8.3,32594.0,False,1
1993-02-01,H1993,8.25,32135.0,False,1
1993-02-02,H1993,8.04,34831.0,False,1
1993-02-03,H1993,8.14,33901.0,False,1
1993-02-04,H1993,8.22,33852.0,False,1
1993-02-05,H1993,8.1,33514.0,False,1
1993-02-08,H1993,8.05,34697.0,False,1
1993-02-09,H1993,8.15,32497.0,False,1
1993-02-10,K1993,9.14,38725.0,True,2
1993-02-11,K1993,9.02,40255.0,False,2
1993-02-12,K1993,9.01,40255.0,False,2
1993-02-16,K1993,9.51,42514.0,False,2
1993-02-17,K1993,9.65,45939.0,False,2
1993-02-18,K1993,9.49,45939.0,False,2
1993-02-19,K1993,9.43,46398.0,False,2
1993-02-22,K1993,9.62,46398.0,False,2
1993-02-23,K1993,9.72,46975.0,False,2
1993-02-24,K1993,9.87,47440.0,False,2
1993-02-25,K1993,9.89,47750.0,False,2
1993-02-26,K1993,9.95,47352.0,False,2
1993-03-01,K1993,10.23,50720.0,False,2
1993-03-02,K1993,10.12,53003.0,False,2
1993-03-03,K1993,10.18,52494.0,False,2
1993-03-04,K1993,10.2,51731.0,False,2
1993-03-05,K1993,10.09,51379.0,False,2
1993-03-08,K1993,10.01,51084.0,False,2
1993-03-09,K1993,9.88,51754.0,False,2
1993-03-10,K1993,10.15,50166.0,False,2
1993-03-11,K1993,10.21,51230.0,False,2
1993-03-12,K1993,10.55,50560.0,False,2
1993-03-15,K1993,11.5,53012.0,False,2
1993-03-16,K1993,11.0,51237.0,False,2
1993-03-17,K1993,11.11,50676.0,False,2
1993-03-18,K1993,11.45,52933.0,False,2
1993-03-19,K1993,12.18,51646.0,False,2
1993-03-22,K1993,12.22,49709.0,False,2
1993-03-23,K1993,11.78,49171.0,False,2
1993-03-24,K1993,11.68,48251.0,False,2
1993-03-25,K1993,11.72,48236.0,False,2
1993-03-26,K1993,11.85,48291.0,False,2
1993-03-29,K1993,12.03,48975.0,False,2
1993-03-30,K1993,11.89,46951.0,False,2
1993-03-31,N1993,12.53,44110.0,True,3
1993-04-01,N1993,12.61,45501.0,False,3
1993-04-02,N1993,12.71,44592.0,False,3
1993-04-05,N1993,12.45,45266.0,False,3
1993-04-06,N1993,11.89,44566.0,False,3
1993-04-07,N1993,11.18,43816.0,False,3
1993-04-08,N1993,11.48,43816.0,False,3
1993-04-09,H1994,10.3,14998.0,True,4
1993-04-12,N1993,11.2,40559.0,True,5
1993-04-13,N1993,11.4,40668.0,False,5
1993-04-14,N1993,11.03,40735.0,False,5
1993-04-15,N1993,11.0,39639.0,False,5
1993-04-16,N1993,11.21,39213.0,False,5
1993-04-19,N1993,11.56,43272.0,False,5
1993-04-20,N1993,11.67,42334.0,False,5
1993-04-21,N1993,11.66,43296.0,False,5
1993-04-22,N1993,12.25,44340.0,False,5
1993-04-23,N1993,12.38,44895.0,False,5
1993-04-26,N1993,12.81,47114.0,False,5
1993-04-27,N1993,12.99,49973.0,False,5
1993-04-28,N1993,12.69,49458.0,False,5
1993-04-29,N1993,12.84,49338.0,False,5
1993-04-30,N1993,12.82,50070.0,False,5
1993-05-03,N1993,12.3,49697.0,False,5
1993-05-04,N1993,12.14,49016.0,False,5
1993-05-05,N1993,12.26,48858.0,False,5
1993-05-06,N1993,12.29,49242.0,False,5
1993-05-07,N1993,12.28,49209.0,False,5
1993-05-10,N1993,12.17,48953.0,False,5
1993-05-11,N1993,12.47,51161.0,False,5
1993-05-12,N1993,12.5,51525.0,False,5
1993-05-13,N1993,12.88,53344.0,False,5
1993-05-14,N1993,13.19,52810.0,False,5
1993-05-17,N1993,12.97,52864.0,False,5
1993-05-18,N1993,12.35,52711.0,False,5
1993-05-19,N1993,11.96,49848.0,False,5
1993-05-20,N1993,12.06,49210.0,False,5
1993-05-21,N1993,12.36,47809.0,False,5
1993-05-24,N1993,11.61,47243.0,False,5
1993-05-25,N1993,11.78,46153.0,False,5
1993-05-26,N1993,11.12,42311.0,False,5
1993-05-27,V1993,10.76,41364.0,True,6
1993-05-28,V1993,11.02,41364.0,False,6
1993-06-01,V1993,11.03,41508.0,False,6
1993-06-02,V1993,10.89,41750.0,False,6
1993-06-03,V1993,10.78,42809.0,False,6
1993-06-04,V1993,11.36,42052.0,False,6
1993-06-07,V1993,11.26,41767.0,False,6
1993-06-08,V1993,11.39,42341.0,False,6
1993-06-09,V1993,11.23,43019.0,False,6
1993-06-10,V1993,11.43,43080.0,False,6
1993-06-11,V1993,11.31,43121.0,False,6
1993-06-14,V1993,11.19,43437.0,False,6
1993-06-15,V1993,11.17,43345.0,False,6
1993-06-16,V1993,10.86,43676.0,False,6
1993-06-17,V1993,10.97,43712.0,False,6
1993-06-18,V1993,10.52,44217.0,False,6
1993-06-21,V1993,10.09,45601.0,False,6
1993-06-22,V1993,10.23,45869.0,False,6
1993-06-23,V1993,10.34,46323.0,False,6
1993-06-24,V1993,10.34,46984.0,False,6
1993-06-25,V1993,10.22,48231.0,False,6
1993-06-28,V1993,10.41,49216.0,False,6
1993-06-29,V1993,10.05,50252.0,False,6
1993-06-30,V1993,10.45,50502.0,False,6
1993-07-01,V1993,10.34,50870.0,False,6
1993-07-02,V1993,10.64,50870.0,False,6
1993-07-06,V1993,10.75,52632.0,False,6
1993-07-07,V1993,10.66,52374.0,False,6
1993-07-08,V1993,10.55,52807.0,False,6
1993-07-09,V1993,10.25,51258.0,False,6
1993-07-12,V1993,9.74,51706.0,False,6
1993-07-13,V1993,9.7,52296.0,False,6
1993-07-14,V1993,9.86,52182.0,False,6
1993-07-15,V1993,9.59,52564.0,False,6
1993-07-16,V1993,9.8,52717.0,False,6
1993-07-19,V1993,9.98,53386.0,False,6
1993-07-20,V1993,9.79,54374.0,False,6
1993-07-21,V1993,9.67,55037.0,False,6
1993-07-22,V1993,9.61,54377.0,False,6
1993-07-23,V1993,9.6,54063.0,False,6
1993-07-26,V1993,9.15,54148.0,False,6
1993-07-27,V1993,9.13,52436.0,False,6
1993-07-28,V1993,9.21,51467.0,False,6
1993-07-29,V1993,9.29,50706.0,False,6
1993-07-30,V1993,9.36,50553.0,False,6
1993-08-02,V1993,9.56,50294.0,False,6
1993-08-03,V1993,10.13,49132.0,False,6
1993-08-04,V1993,10.05,47474.0,False,6
1993-08-05,V1993,10.01,46938.0,False,6
1993-08-06,V1993,10.04,46237.0,False,6
1993-08-09,V1993,9.63,46554.0,False,6
1993-08-10,V1993,9.84,46473.0,False,6
1993-08-11,V1993,9.69,45781.0,False,6
1993-08-12,V1993,9.18,45867.0,False,6
1993-08-13,V1993,9.37,45790.0,False,6
1993-08-16,V1993,9.2,46727.0,False,6
1993-08-17,V1993,9.39,46809.0,False,6
1993-08-18,V1993,9.36,47382.0,False,6
1993-08-19,V1993,9.39,47130.0,False,6
1993-08-20,V1993,9.12,47298.0,False,6
1993-08-23,V1993,9.28,47114.0,False,6
1993-08-24,V1993,9.36,47004.0,False,6
1993-08-25,V1993,9.17,46319.0,False,6
1993-08-26,V1993,9.32,45589.0,False,6
1993-08-27,V1993,9.15,45762.0,False,6
1993-08-30,V1993,9.34,45645.0,False,6
1993-08-31,V1993,9.07,45222.0,False,6
1993-09-01,V1993,9.16,44625.0,False,6
1993-09-02,V1993,9.09,43926.0,False,6
1993-09-03,V1993,9.11,43926.0,False,6
1993-09-07,V1993,9.2,42859.0,False,6
1993-09-08,V1993,9.09,41877.0,False,6
1993-09-09,H1994,9.58,57045.0,True,7
1993-09-10,V1993,9.39,39251.0,True,8
1993-09-13,V1993,9.63,37726.0,False,8
1993-09-14,H1994,9.85,35931.0,True,9
1993-09-15,H1994,10.13,37053.0,False,9
1993-09-16,H1994,10.06,37455.0,False,9
1993-09-17,H1994,10.31,40921.0,False,9
1993-09-20,H1994,10.25,42436.0,False,9
1993-09-21,H1994,10.15,44214.0,False,9
1993-09-22,H1994,10.33,45358.0,False,9
1993-09-23,H1994,10.29,45776.0,False,9
1993-09-24,H1994,10.39,47710.0,False,9
1993-09-27,H1994,10.16,47503.0,False,9
1993-09-28,H1994,10.29,49650.0,False,9
1993-09-29,H1994,10.29,50137.0,False,9
1993-09-30,H1994,10.45,51562.0,False,9
1993-10-01,H1994,10.83,59135.0,False,9
1993-10-04,H1994,10.84,61793.0,False,9
1993-10-05,H1994,10.71,61388.0,False,9
1993-10-06,H1994,10.87,63706.0,False,9
